Age (Ga),Age (Ma),Peak T,Peak P/P-T/peak T,T (degC),P (GPa),T / P (degC/GPa),References,Long,Lat,OrogenName,CoordsQuality
2.697,2697,"Northern Teton Range, Wyoming, USA",P-T,950,1.2,791.67,"Frost et al. (2007, 2009)",,,,
2.68,2680,"Varpaisj_rvi, central Finland",P-T,850,0.9,944.44,H_lt_ and Paavola (2000); M_nt_ri and H_lt_ (2002); Nehring et al. (2009),,,,
2.68,2680,"Natawahunan Lake, Pikwitonei granulite domain, NW Superior Province, Canada",P-T,900,0.9,1000,Kooijman et al. (2012); Heaman et al. (2011); Mezger et al. (1990),,,,
2.676,2676,"Beartooth Mountains, Montana-Wyoming, USA",P-T,780,0.65,1200,Guevara et al. (2015); Dragovic et al. (2015),,,,
2.675,2675,"Ashuanipi Complex, Superior Province, Canada (average 10 samples)",P-T,880,0.78,1128.21,"Pattison et al., 2003",,,,
2.667,2667,"Sample 251, Jean Lake, central Quetico metasedimentary belt, Superior Province, Canada",P-T,628,0.64,981.25,Valli et al. (2004),,,,
2.66,2660,"Quetico Metasedimentary Belt, Superior Province, Canada (average 6 samples)",P-T,880,0.8,1100,"Pattison et al., 2003",,,,
2.645,2645,"Quairading, Grace terrane, Yilgarn craton",P-T,760,0.6,1266.67,Wilde (1994); Nemchin et al. (1994); Lindsley (1983),,,,
2.644,2644,"Bulai pluton, Central Zone, Limpopo Belt, southern Africa",P-T,845,0.85,994.12,"Millonig et al., 2008",,,,
2.636,2636,"Nevoria, Southern Cross greenstone belt, Yilgarn craton",P-T,590,0.35,1685.71,Mueller et al. (2004),,,,
2.636,2636,"Griffins Find, southwestern Southern Cross Province, Yilgarn craton",P-T,740,0.6,1233.33,Barnicoat et al. (1991),,,,
2.622,2622,"Uweinat-Kamil basement inlier, east Sahara ghost craton, SW Egypt",P-T,1050,1,1050,Karmaker and Schenk (2015a),,,,
2.62,2620,"Kapuskasing structural zone, Superior Province, Canada (average 4 samples)",P-T,777,1,777,"Bowman et al., 2011; Pattison et al., 2003",,,,
2.564,2564,"Hutti-Maski greenstone belt, eastern Dharwar craton, India",P-T,620,0.6,1033.33,Hazarika et al. (2015),,,,
2.546,2546,"South Kolar greenstone belt, eastern Dharwar craton, India",P-T,600,0.46,1304.35,Hazarika et al. (2015),,,,
2.546,2546,"Tonagh Island, Napier Complex, E Antarctica",P-T,1000,0.9,1111.11,Shimizu et al. (2013); Carson et al. (2002),,,,
2.545,2545,"Forefinger Point/Fyfe Hills/Zircon Point, Napier Complex, E Antarctica",P-T,1000,1,1000,Kelly & Harley (2005); Harley et al. (1990); Sandiford and Powell (1988),,,,
2.53,2530,"Karnataka, Dharwar Craton, India (average 7 samples)",P-T,840,0.93,903.23,Pattison et al. (2003); Mojzsis et al. (2003); Friend and Nutman (1992) ,,,,
2.522,2522,"Nilgiri Hills, India (average 51 samples)",P-T,800,0.99,808.08,Peucat et al. (2013); Pattison et al. (2003),,,,
2.5,2500,"Charnockite, Madras block, southern India",P-T,860,0.85,1011.76,Pattison et al. (2003); Santosh et al. (2003),,,,
2.5,2500,"Mt Riiser_Larsen, Napier Complex, E Antarctica",P-T,1050,0.8,1312.5,Hokada et al. (2008; 2004; 2003),,,,
2.5,2500,"Vestfold Hills, E Antarctica",P-T,850,0.81,1049.38,Clark et al. (2012); Zulbati & Harley (2007),,,,
2.5,2500,"Kasai Craton, Zaire (average 6 samples)",P-T,810,0.72,1125,"Pattison et al., 2003",,,,
2.5,2500,"Andriamena Mafic Unit, north-central Madagascar",P-T,1000,1.05,952.38,Goncalves et al. (2004); Paquette et al. (2004),,,,
2.498,2498,"Taipingzhai, Eastern Hebei, north China craton",P-T,880,1,880,Kwan et al. (2016); Yang et al. (2008),,,,
2.479,2479,"Northern Liaoning complex, eastern block, north China craton",P-T,800,0.81,987.65,Wu et al. (2013); Wan et al. (2005),,,,
2.48,2480,"Badcall Bay, Assynt terrane, Lewisian Complex, Scotland",P-T,1000,1.4,714.29,Love et al. (2004); Cartwright and Barnicoat (1989),,,,
2.46,2460,"Mulgathing complex, Christie domain, N Gawler craton, South Australia",P-T,850,0.7,1214.29,"Halpin and Reid (2016); McFarlane, 2006; Tomkins and Mavrogenes, 2002",,,,
2.455,2455,"Shoal Point, S Gawler craton, South Australia",P-T,800,0.65,1230.77,"Dutch et al., 2010",,,,
2.45,2450,"Terre Ad_lie, E Antarctica",P-T,800,0.9,888.89,Duclaux et al. (2008); M_not et al. (2005),,,,
2.35,2350,"Southern Boothia Peninsula, northern Rae craton, Canada",P-T,718,0.56,1282.14,Berman et al. (2013a),,,,
2.35,2350,"McCann Lake, southern Rae craton, Canada",P-T,850,0.67,1268.66,Berman et al. (2013a),,,,
2.151,2151,"Tidjenouine area, Central Hoggar, Algeria",P-T,860,0.8,1075,Bendaoud et al. (2008),,,,
2.072,2072,"Bakhuis granulite belt, western Suriname",P-T,950,0.85,1117.65,Klaver et al. (2015); de Roever et al. (2003),,,,
2.086,2086,"Itabuna-Salvador-Curaçˆ Block, S†o Francisco craton, Brazil",P-T,925,0.75,1233.33,Peucat et al. (2011); Leite et al. (2009),,,,
2.045,2045,"Jequi_ Block, S†o Francisco craton, Brazil",P-T,875,0.72,1215.28,"Barbosa et al. (2006, 2004)",,,,
2.04,2040,"Mahalapye Complex, Central Zone, Limpopo Belt, southern Africa",Peak T,800,0.5,1600,"Millonig et al., 2010",,,,
2.025,2025,"Beit Bridge Complex, Musina, Central Zone, Limpopo Belt, southern Africa",Peak T,820,0.8,1025,"Zeh et al., 2010; Van Reenen et al., 2008; Zeh et al., 2004",,,,
2.002,2002,"In Roccan, In Ouzzal Terrain, NW Hoggar, Algeria",Peak T,960,0.93,1032.26,Peucat et al. (1996); Ouzegane and Boumaza (1996); Ouzegane et al. (2003),,,,
2.002,2002,"Ihouhaouene, In Ouzzal Terrain, NW Hoggar, Algeria",Peak T,1000,1,1000,Peucat et al. (1996); A´t-Djafer et al. (2009),,,,
2.002,2002,"Khanfous, In Ouzzal Terrain, NW Hoggar, Algeria",Peak T,950,0.9,1055.56,Peucat et al. (1996); Adjerid et al. (2013),,,,
2,2000,"Amessmessa, In Ouzzal Terrain, NW Hoggar, Algeria",P-T,875,0.8,1093.75,Ouzegane et al. (1996),,,,
1.99,1990,"Glenburgh gold deposit, Glenburgh Terrane, southern Gascoyne Province, Western Australia",P-T,875,0.72,1215.28,Roche et al. (2016),,,,
1.96,1960,"Katuma Block, Ubendian Belt, Tanzania",P-T,770,0.71,1084.51,"Kazimoto et al. (2015, 2014)",,,,
1.95,1950,"Daqingshan-Wulashan, Khondalite Belt, North China Craton",P-T,865,1.05,823.81,"Cai et al. (2015a, 2015b, 2014)",,,,
1.95,1950,"Qitan1 borehole, Ordos Basin, North China Craton",Peak P,770,0.88,875,Gou et al. (2016),,,,
1.95,1950,"Zhaojiayao, Khondalite Belt, North China craton",Peak T,985,0.85,1158.82,Li and Wei (2016) ,,,,
1.93,1930,"Dajing, Khondalite Belt, North China craton",P-T,980,1,980,Gou et al. (2015); Jiao and Guo (2011); Santosh et al. (2009),,,,
1.881,1881,"Hongsigou, Khondalite Belt, North China craton",P-T,1000,0.75,1333.33,Yang et al. (2014a) ,,,,
1.826,1826,"Lujiaying, TNCO, North China Craton",P-T,920,0.47,1957.45,Yang et al. (2014b),,,,
1.896,1896,"Chipman domain, Snowbird tectonic zone, Canada",P-T,850,1,850,Mahan et al. (2008); Flowers et al. (2006),,,,
1.94,1940,"Taltson Magmatic Zone, Canada (average 15 samples)",P-T,930,0.67,1388.06,"Pattison et al., 2003",,,,
1.925,1925,"Uweinat-Kamil basement inlier, east Sahara ghost craton, SW Egypt",Peak P,975,0.88,1114.29,Karmaker and Schenk (2015a),,,,
1.91,1910,"Lapland granulite belt, Finland",P-T,850,0.8,1062.5,Tuisku et al. (2006); Tuisku and Huhma (2007),,,,
1.91,1910,"Umba granulite belt, Russian Federation",P-T,900,1.05,857.14,Daly et al. (2001); Aranovich et al. (2010),,,,
1.861,1861,"Bell Peninsula, Southampton Island, Nunavut",P-T,770,0.74,1040.54,Berman et al. (2013b),,,,
1.848,1848,"Duke of York Bay, Southampton Island, Nunavut",P-T,780,0.71,1098.59,Berman et al. (2013b),,,,
1.854,1854,"Weihai, northern Sulu belt, China",P-T,950,1.2,791.67,Xiang et al. (2014),,,,
1.852,1852,"MP metapelite, Nanshu, Jiaobei massif, Jiao-Liao-Ji belt, North China Craton",P-T,885,0.97,912.37,Zhao et al. (2015); Tam et al. (2012c),,,,
1.85,1850,"Sherdarwaza Formation, Kabul Block, Afghanistan",P-T,860,0.7,1228.57,Faryad et al. (2015); Collett et al. (2015),,,,
1.85,1850,"Ketilidian Belt, Greenland (average 9 samples)",P-T,940,0.58,1620.69,"Pattison et al., 2003",,,,
1.85,1850,"Tasiuyak gneiss, Makhavinekh Lake, northern Labradorr, Canada",P-T,900,0.8,1125,Mitchell et al. (2014); McFarlane et al. (2005),,,,
1.824,1824,"Turku, southern Finland",P-T,800,0.6,1333.33,Johannes et al. (2003); V_is_nen et al. (2002),,,,
1.8,1800,"Zone 4, Mount Stafford, central Australia",P-T,800,0.4,2000,Rubatto et al. (2006); White et al. (2003),,,,
1.814,1814,"Fraser Lakes, Wollaston domain, northern Saskatchewan, Canada",Peak P,780,0.8,975,McKechnie et al. (2012); Annesley et al. (2005),,,,
1.79,1790,"Eastern granulite facies zone, Thompson Nickel Belt, Manitoba, Canada",P-T,800,0.7,1142.86,Couïslan et al. (2013); Couïslan  & Pattison (2012),,,,
1.78,1780,"Tobacco Root Mountains, Montana, USA",Peak T,850,0.95,894.74,"Cheney et al., 2004a, b",,,,
1.75,1750,"HPG block, Black Hills, South Dakota, USA",Peak P,680,0.63,1079.37,Nabelek and Chen (2014); Dahl et al. (2005),,,,
1.73,1730,"Strangways metamorphic complex, central Australia",P-T,850,0.85,1000,Diener et al. (2008); M_ller et al. (2003),,,,
1.731,1731,"Magnetite gneisses, Warramboo, southeastern Gawler craton, Australia",Peak T,850,0.6,1416.67,Morrissey et al. (2016); Lane et al. (2015),,,,
1.72,1720,"Shoal Point, S Gawler craton, South Australia",P-T,820,0.85,964.71,Dutch et al. (2010),,,,
1.685,1685,"Ooldea, western Gawler craton, Australia",Peak T,915,0.7,1307.14,Cutts et al. (2013),,,,
1.597,1597,"Mabel Creek ridge, northern Gawler craton, Australia",P-T,860,0.9,955.56,Cutts et al. (2011),,,,
1.586,1586,"Coober Pedy ridge, northern Gawler craton, Australia",P-T,920,0.65,1415.38,Cutts et al. (2011),,,,
1.64,1640,"Mount Liebig area, Warumpi province, central Australia",P-T,800,0.95,842.11,Scrimgeour et al. (2005),,,,
1.58,1580,"Southeast Anmatjira Range, central Australia",P-T,900,0.7,1285.71,Anderson et al. (2013),,,,
1.576,1576,"Eastern Raynolds Range, central Australia",P-T,850,0.7,1214.29,Morrissey et al. (2014),,,,
1.646,1646,"Wilson lake terrane, Labrador, Canada",P-T,950,0.93,1021.51,Korhonen et al. (2012),,,,
1.625,1625,"Ongole domain, Eastern Ghats belt, India",P-T,1000,0.67,1492.54,Sarkar and Schenk (2014); Sarkar et al. (2014),,,,
1.6,1600,"Bhandara-Balaghat domain, central Indian tectonic zone",P-T,930,0.8,1162.5,Bhowmik et al. (2014); Bhandari et al. (2011),,,,
1.596,1596,"Garo-Goalpara Hills, Shillong-Meghalaya Plateau, NE India",P-T,860,0.8,1075,Chatterjee et al. (2007),,,,
1.5,1500,"Epembe unit, Epupa complex, NW Namibia",P-T,1000,0.95,1052.63,Brandt et al. (2007); Seth et al. (2003) ,,,,
1.2,1200,"Kakamas terrane, central Namaqua metamorphic complex, South Africa",P-T,900,0.5,1800,Bial et al. (2015),,,,
1.2,1200,"Aggeneys terrane, western Namaqua metamorphic complex, South Africa",P-T,650,0.5,1300,Diener (2014); Bailie et al. (2007),,,,
1.05,1050,"Aus terrane, southwestern Namaqua metamorphic complex, southern Namibia",P-T,825,0.55,1500,Diener et al. (2013),,,,
1.03,1030,"Namaqualand terrane,  southwestern Namaqua metamorphic complex, Namibia",P-T,890,0.55,1618.18,Robb et al. (1999); Holland et al. (1996),,,,
1.451,1451,"Romeleësen horst, southwest Sweden",P-T,750,0.5,1500,Ulmius et al. (2015),,,,
1.4,1400,"Picuris orogen, New Mexico, USA",Peak T,600,0.45,1333.33,Aronoff et al. (2016); Barnhart et al. (2012),,,,
1.322,1322,"Contact aureole, Makhavinekh Lake pluton, northern Labrador, Canada",P-T,950,0.45,2111.11,"Mitchell et al. (2014); McFarlane et al. (2005, 2003)",,,,
1.302,1302,"Coramup Gneiss, central Biranup zone, Albany-Fraser orogen, Australia",P-T,850,1,850,Bodorkod and Clark (2004); Nelson et al. (1995),,,,
1.29,1290,"Fraser Range Metamorphics, Frazer zone, Albany-Fraser orogen, Australia",P-T,850,0.9,944.44,Clark et al. (2014),,,,
1.21,1210,"Mutherbukin zone, Capricorn orogen, Western Australia",P-T,650,0.7,928.57,Korhonen et al. (2015),,,,
1.2,1200,"Western Musgrave Province, Western Australia",P-T,1000,0.75,1333.33,Walsh et al (2015); Smithies et al. (2011),,,,
1.19,1190,"Eastern Musgrave Province, South Australia",P-T,900,0.63,1428.57,Tucker et al. (2015b),,,,
1.132,1132,"Chewings Range, Warumpi Province, central Australia",P-T,570,0.35,1628.57,Morrissey et al. (2011),,,,
1.13,1130,"Haasts Bluff domain, Warumpi Province, central Australia",P-T,810,0.55,1472.73,Wong et al. (2015),,,,
1.156,1156,"Adirondack Highlands, Grenville Province, North America (average 11 samples)",P-T,820,0.92,891.3,Peck et al. (2010); Pattison et al. (2003),,,,
1.04,1040,"Mollendo-Camana Block, Arequipa-Antofalla Basement, central Andean Margin",P-T,950,1.15,826.09,Casquet et al. (2010); Martingole and Martelat (2003),,,,
1.015,1015,"Garzon Massif, Colombia",P-T,965,0.7,1378.57,Altenberger et al. (2012); Cordani et al. (2005),,,,
1.04,1040,"Northern domain, Sausar mobile belt, central Indian tectonic zone",P-T,850,1,850,Bhowmik et al. (2012); Bhowmik and Spiering (2004); Brown and Phadke (1988),,,,
1.03,1030,"Bamble terrane, Sveconorwegian belt, south Norway",P-T,940,1.05,895.24,Kihle et al. (2010); Bingen et al. (2008),,,,
1.03,1030,"Chipata Terrane, southern Irumide Belt, Zambia",Peak T,1000,0.65,1538.46,Karmaker and Schenk (2016),,,,
1.022,1022,"Wakole Terrane, Ubendian Belt, Tanzania",P-T,747,0.91,820.88,Boniface et al. (2014),,,,
1.008,1008,"Rogaland, Norway",P-T,975,0.75,1300,Drôppel et al. (2013),,,,
1,1000,"Anantagiri, Eastern Ghats Province",Peak T,1020,0.7,1457.14,"Korhonen et al. (2014, 2013a)",,,,
1,1000,"Sunkarametta, Eastern Ghats Province, India",Peak T,955,0.78,1224.36,"Korhonen et al. (2013a, b)",,,,
1,1000,"Paderu, Eastern Ghats Province, India",P-T,950,0.83,1144.58,"Korhonen et al. (2013b, 2011)",,,,
1,1000,"Sostrene Island, Larsemann Hills, Prydz Bay, E Antarctica",P-T,900,1,900,Wang et al. (2008); Hensen et al. (1995); Hensen and Zhou (1995),,,,
0.95,950,"Vestfold Hills, Prydz Bay, East Antarctica",P-T,830,0.9,922.22,Liu et al. (2014),,,,
0.965,965,"Stillwell Hills, East Antarctica",P-T,920,0.87,1057.47,"Halpin et al. (2013, 2007a)",,,,
0.926,926,"Oygarden group, Kemp Land, East Antarctica",P-T,950,0.85,1117.65,"Halpin et al. (2013, 2007a); Kelley et al. (2004)",,,,
0.941,941,"Cape Bruce, MacRobertson Land, East Antarctica",Peak T,830,0.6,1383.33,"Halpin (2013, 2007b)",,,,
0.961,961,"Forbes Glacier, MacRobertson Land, East Antarctica",Peak T,910,0.6,1516.67,"Halpin (2013, 2007b)",,,,
0.93,930,"Northern Prince Charles Mountains, East Antarctica",P-T,865,0.65,1330.77,Morrissey et al. (2015),,,,
0.945,945,"Mawson Escarpement, Southern Prince Charles Mountains, East Antarctica",P-T,800,0.68,1176.47,Phillips et al. (2009); Corvino et al. (2008),,,,
0.788,788,"NE margin Tarim craton, Tibet",P-T,810,1,810,He et al. (2012),,,,
0.788,788,"Polnish, Morar Group, Moine Supergroup, NW Scotland",P-T,650,0.8,812.5,Cutts et al. (2009); Vance et al. (1998),,,,
0.725,725,"Glen Urquhart, Glenfinnan Group, Moine Supergroup, Scotland",P-T,700,0.9,777.78,Cutts et al. (2010),,,,
0.75,750,"Barro Alto complex, Northern BrasÍlia Belt, Brazil",P-T,980,0.8,1225,Giustina et al. (2011); Moraes et al. (2006); Moraes and Fuck (2000),,,,
0.702,702,"Eidet, Kalak Nappe Complex, northern Norway",P-T,768,0.93,825.81,Gasser et al. (2015),,,,
0.64,640,"Anˆpolis-Itauçu complex, Southern BrasÍlia Belt, Brazil",P-T,1000,0.9,1111.11,Baldwin & Brown (2008); Baldwin et al. (2005),,,,
0.621,621,"Guaxup_ Nappe, southern BrasÍlia Belt, Brazil",P-T,860,1.1,781.82,Motta Garcia and Campos Neto (2003); Salazar Mora et al. (2014),,,,
0.644,644,"Schirmacher Hills, East Antarctica",P-T,800,0.8,1000,"Baba et al. (2010, 2008)",,,,
0.627,627,"Brattnipene, southwestern terrane, SËr Rondane Mountains, East Antarctica",P-T,860,0.85,1011.76,Baba et al. (2013); Adachi et al. (2013),,,,
0.555,555,"Rundvëgshetta, Lutzow-Holm Bay, East Antarctica",P-T,1000,1,1000,Tsunogae et al. (2016); Yoshimura et al. (2008),,,,
0.529,529,"Gjelsvikfjella, Central Maud belt, East Antarctica",P-T,747,0.83,905.45,"Bisnath et al. (2006, 2005)",,,,
0.602,602,"Sabaloka, eastern margin of the east Sahara ghost craton, north Sudan",Peak T,950,0.55,1727.27,Karmaker and Schenk (2015b),,,,
0.586,586,"Mather Peninsula, Rauer Islands, Prydz Bay, E Antarctica",P-T,1010,1.1,918.18,Harley et al. (2013); Harley (2008),,,,
0.545,545,"McKaskle Hills, East Amery Ice Shelf, East Antarctica",P-T,865,0.7,1235.71,Morrissey et al. (2016),,,,
0.524,524,"Mawson Escarpement, Southern Prince Charles Mountains, East Antarctica",P-T,630,0.6,1050,Phillips et al. (2009); Corvino et al. (2008),,,,
0.515,515,"Taylor/Brocklehurst/Meredith, Northern Prince Charles Mountains, East Antarctica",P-T,810,0.63,1285.71,Morrissey et al. (2016),,,,
0.58,580,"Southern Victoria Land, Ross orogen, Antarctica",P-T,675,0.55,1227.27,Hagen-Peter et al. (2016),,,,
0.577,577,"Rio de Janeiro city outcrops, Costeiro domain, Oriental terrane, Ribeira Belt, Brazil",P-T,800,0.7,1142.86,Kôhn et al. (2004); Heilbron and machado (2003),,,,
0.57,570,"Central Highland Complex, Sri Lanka",P-T,950,0.9,1055.56,"Dharmapriya et al. (2015a,b, 2014); Sajeev et al. (2010)",,,,
0.54,540,"Bemarivo Belt, northern Madagascar",P-T,950,0.9,1055.56,"J_hns et al. (2009, 2006)",,,,
0.54,540,"Anosyen domain, southeastern Madagascar",P-T,900,0.63,1440,Horton et al. (2016); Boger et al. (2012),,,,
0.55,550,"Southern Granulite Terrain, India",Peak P,1000,1.25,800,Clark et al. (2015); Brandt et al. (2011),,,,
0.56,560,"Kanjampara, central Trivandrum block (Kerala Khondalite Belt), India",P-T,850,0.65,1307.69,Harley and Nandakumar (2016),,,,
0.552,552,"Kakkod, central Trivandrum block (Kerala Khondalite Belt), India",P-T,875,0.8,1093.75,Blereau et al. (2016),,,,
0.544,544,"Achankovil zone, southern India",P-T,950,0.7,1357.14,Taylor et al. (2015),,,,
0.56,560,"Nagercoil block, southern India",P-T,930,0.7,1328.57,Johnson et al. (2015),,,,
0.525,525,"Panagad, Palghat Cauvery shear system, Southern Indian",Peak T,930,0.76,1223.68,Clark et al. (2009),,,,
0.51,510,"Madras Granulites, India (average 8 samples)",P-T,860,0.85,1011.76,Pattison et al. (2003),,,,
0.525,525,"Kaoko Belt, Namibia",Peak P,750,0.8,937.5,Jung et al. (2014),,,,
0.52,520,"Central Damara Belt, Namibia",P-T,750,0.5,1500,Longridge et al. (2014); Ward et al. (2008); Jung and Mezger (2003),,,,
0.525,525,"Bìzios succession, Cabo Frio tectonic domain, Brazil",P-T,760,0.9,844.44,Schmitt et al. (2004),,,,
0.477,477,"Migmatite, Sierra de Valle F_rtil, Famatinian magmatic arc, Argentina",P-T,825,0.66,1250,Tibaldi et al. (2011); Ducea et al. (2010),,,,
0.462,462,"Harts Range meta-igneous omplex, central Australia",P-T,880,1.05,838.1,Tucker et al. (2015a); Maidment et al. (2013),,,,
0.43,430,"Wilmington complex, Delaware, USA",P-T,800,0.7,1142.86,Aleinikoff et al. (2006); Srogi et al. (1993),-75.65,39.75,,
0.426,426,"Qinling Group, Tongbai Orogen, China",P-T,800,0.85,941.18,Bader et al. (2014); Wu et al. (2014); Wang et al. (2011),,,,
0.36,360,"Northeastern Connecticut, USA",P-T,1000,1,1000,"Axler and Ague (2015a, b); Ague et al. (2013)",-72.28,41.87,,
0.358,358,"Winding Stair Gap, Southern Appalachians, USA",P-T,850,0.8,1062.5,Moecher et al. (2004),-83.5,35.1,,
0.356,356,"Chandman, south-west Mongolian Altai, Mongolia",P-T,750,0.66,1136.36,Broussolle et al. (2015),,,,
0.346,346,"Fosdick migmatite-granite complex, Marie Byrd Land, Antarctica",P-T,740,0.7,1057.14,Yakymchuk et al. (2015); Korhonen et al. (2012),,,,
0.338,338,"Le Conquet Schist, Leon Domain, French Massif Armoricain",P-T,675,0.7,964.29,Faure et al. (2010); Jones (1994),,,,
0.325,325,"Golfe du Morbihan, Brittany, France",P-T,800,0.8,1000,Augier et al. (2015); Johnson and Brown (2004); Brown and Dallmeyer (1996),,,,
0.308,308,"Eastern Montagne Noire, Massif Central, France",P-T,725,0.8,906.25,Fr_ville et al. (2016); Roger et al. (2015),,,,
0.316,316,"Ivrea zone, Italy",P-T,910,1.1,827.27,"Ewing et al., 2013; Redler et al., 2012",,,,
0.28,280,"Val Malenco, north Italy",P-T,850,1.05,809.52,Hermann and Rubatto (2003),,,,
0.272,272,"Gruf complex, central Alps",P-T,920,0.9,1022.22,"Guevara and Caddick (2016); Galli et al. (2011, 2012); Liati and Gebauer (2003)",,,,
0.3,300,"Pichilemu, central Chile",P-T,555,0.42,1321.43,Hyppolito et al. (2015),-71.9,-34.3,,
0.299,299,"Altai, Chinese Altai, Central Asian orogenic belt, China",P-T,660,0.63,1047.62,Wang et al. (2014),,,,
0.278,278,"Kalasu, Chinese Altai, Central Asian orogenic belt, China",P-T,950,0.8,1187.5,Tong et al. (2014),,,,
0.277,277,"Fuyun, Chinese Altai, Central Asian orogenic belt, China",P-T,970,0.9,1077.78,Li et al. (2014),,,,
0.202,202,"Basong Tso complex, North Lhasa terrane, China",P-T,690,0.9,766.67,Weller et al. (2015a),,,,
0.15,150,"Raft River Mountains, Seview hinterland, USA",P-T,600,0.7,857.14,Cruz-Uribe et al. (2015),,,,
0.132,132,"Albion Mountains, Sevier hinterland, USA",P-T,600,0.65,923.08,Kelly et al. (2015),,,,
0.115,115,"Fosdick migmatite-granite complex, Marie Byrd Land, Antarctica",P-T,870,0.75,1160,Yakymchuk et al. (2015); Korhonen et al. (2010),,,,
0.1,100,"Yanai, Ryole Belt, Japan",P-T,825,0.55,1500,Skrzypek et al. (2016); Ikeda (2014); Brown (1998),,,,
0.084,84,"Kir_ehir-Hirkada_ massifs, Central Anatolia, Turkey",peak P,700,0.75,933.33,Lefebvre et al. (2015); Whitney and Hamilton (2004),,,,
0.064,64,"Priest River core complex, northern Idaho, USA",P-T,785,0.95,826.32,Stevens et al. (2015),,,,
0.047,47,"Yardoi dome, southeastern Tibet",P-T,650,0.75,866.67,Ding et al. (2016),,,,
0.037,37,"Shakhdara dome, southern Pamir Mountains",P-T,830,1,830,Smit et al. (2015); Schmidt et al. (2011),,,,
0.036,36,"Jomolhari massif, western Bhutan",peak T,785,0.9,872.22,Regis et al (2014),,,,
0.034,34,"Day Nui Con Voi metamorphic core complex, northern Vietnam",P-T,805,0.85,947.06,Palin et al. (2013),,,,
0.03,30,"Lower crustal xenoliths, central Mexico",P-T,1020,1.15,886.96,"Hayob et al. (1993, 1989); Rudnick and Cameron (1991)",,,,
0.025,25,"Granulite xenoliths,Kilbourne Hole/Potrillo volcanic field, New Mexico, USA",P-T,875,0.85,1035.5,Scherer et al. (1997); Hamblock et al. (2007); Bohlen et al. (1983),,,,
0.028,28,"Hunza Valley, Karakoram metamorphic complex, Pakistan",P-T,692,0.83,833.73,Palin et al. (2012),,,,
0.028,28,"Sill-Kfs metatexite, Upper GHC, Nylam, central Himalaya, China",P-T,720,0.7,1028.57,"Wang et al. (2013, 2015)",,,,
0.027,27,"Higher Himalayan Crystallines, Sikkim, India",P-T,800,1,800,Anczkiewicz et al. (2014); Sorcar et al. (2014),,,,
0.021,21,"Oaro Chu Valley, western Bhutan",peak T,710,0.65,1092.31,Regis et al. (2016),,,,
0.019,19,"Hidaka metamorphic belt, Japan",peak T,900,0.75,1200,Kemp et al. (2007),,,,
0.016,16,"Seram, eastern Indonesia",P-T,925,0.9,1027.78,Pownall (2015); Pownall et al. (2014),129.5,-3,,
0.34,340,"Argentera Massif, Italy",P-T,735,1.38,532.61,Rubatto et al. (2010); Ferrando et al. (2008),,,,
